epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.9797159435399156,24.464,1.7507977385045317,33.928
2,1.7344641688537272,34.576,1.610979614050492,40.352
3,1.6150218603350603,39.757333333333335,1.4840049676578064,45.896
4,1.5189885990408094,44.42933333333333,1.3684766126410735,50.92
5,1.4442720147224823,47.370666666666665,1.3177908021775657,51.824
6,1.3941897140122925,49.464,1.2797090059046246,54.704
7,1.3476825681969575,51.32,1.269710612876336,55.664
8,1.3099856751974126,52.91466666666667,1.2026688801053236,58.152
9,1.2712496259208426,54.202666666666666,1.1808981157629692,58.256
10,1.248191053295705,55.178666666666665,1.114934849769563,59.984
11,1.2196971330626425,56.434666666666665,1.101848486286905,61.088
12,1.1990924082416723,56.95466666666667,1.0917550451920162,61.688
13,1.1808065996845427,58.28,1.0655717496067056,61.992
14,1.1674518344141924,58.648,1.031947726483845,63.944
15,1.1400190431103365,59.29066666666667,1.0381506646380705,63.816
16,1.1288091983302868,59.744,0.9903660561422558,65.936
17,1.1257114708932185,59.63466666666667,1.0214329989974762,64.8
18,1.1052508298244086,60.69866666666667,1.0027474137523291,64.424
19,1.0976477649838445,60.882666666666665,0.9791030745067255,66.032
20,1.0902523619119624,61.192,0.9564442895257564,66.8
21,1.0736612385653799,62.090666666666664,1.0023437669819883,64.832
22,1.0709992632168146,61.690666666666665,0.9364208371742911,67.784
23,1.0630115500489192,62.51733333333333,0.9499140862003922,67.408
24,1.0454174360012438,63.14666666666667,0.9362264719155743,67.84
25,1.0379412877071432,63.376,0.9143523113501956,68.32
26,1.0425459044785224,63.088,0.9012410623185775,68.776
27,1.0334112936115916,63.704,0.9102749140061381,68.04
28,1.0270456736303433,63.568,0.8993246019496333,68.344
29,1.0142193210562342,64.06133333333334,0.914527166682436,68.432
30,1.0092901442034659,64.13333333333334,0.89317288194471,69.104
31,1.0031591225351897,64.512,0.9004988665775875,68.992
32,0.9962522213318649,64.824,0.8895332868141896,69.336
33,1.0003805582637266,64.51466666666667,0.8565038979968147,70.36
34,0.9823244100392068,65.45066666666666,0.8799377987756754,69.536
35,0.9837597712314984,65.24,0.8725370868392612,69.64
