epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.9766364288818308,24.736,1.8425982830774448,27.704
2,1.7360813278997311,34.56,1.5813050517035872,41.376
3,1.6100941716404091,40.050666666666665,1.472254747015131,46.44
4,1.5164502342406394,44.38933333333333,1.4036252634299686,48.88
5,1.450361789595145,47.21066666666667,1.3179048246434888,52.36
6,1.3881715801592167,50.01866666666667,1.27822169867318,54.568
7,1.3409700434871095,51.64533333333333,1.221170647369931,56.224
8,1.3028108426735263,52.93866666666667,1.2145928460008957,57.432
9,1.2665117865129543,54.736,1.1574797890985105,58.88
10,1.2347232242187949,55.74666666666667,1.1224917283143534,60.6
11,1.208066829845767,56.757333333333335,1.103787169889416,61.328
12,1.1857987925562843,57.54933333333334,1.0813153038549301,61.248
13,1.1638213917358744,58.349333333333334,1.0572882965397652,63.32
14,1.1542943216631436,58.88,1.0529018963694268,63.36
15,1.134511719638984,59.776,1.022816853602524,64.024
16,1.120707088464763,60.328,1.0224697396273503,64.672
17,1.1005011181579107,60.87466666666667,0.965018825762717,66.56
18,1.093707926647655,61.25866666666667,0.9973731708648564,65.24
19,1.080654155831695,61.86666666666667,0.9533381198373292,67.016
20,1.068922334055038,62.029333333333334,0.9475308418883692,66.856
21,1.0640281280661605,62.157333333333334,0.9594219985520444,66.976
22,1.051813958702234,62.624,0.9404688276293333,67.72
23,1.0441136221836858,63.256,0.9065331514839017,69.248
24,1.0296790555322943,63.65866666666667,0.9188549309740286,68.136
25,1.0317484880368457,63.269333333333336,0.9273870006546645,67.832
26,1.0225196109493437,63.781333333333336,0.9221210321959328,68.024
27,1.017544399603642,63.90133333333333,0.8912712460588617,69.0
28,1.0126994386467918,64.26133333333334,0.8817593587938782,69.632
29,1.009356385154122,64.296,0.8857291590832078,70.096
30,0.9977739499595791,64.82933333333334,0.8788412084512394,69.544
31,0.9942674493932073,64.98666666666666,0.8804647138966318,69.112
32,0.9866007754623687,64.95733333333334,0.8946906741317886,69.704
33,0.9913061908335002,64.78666666666666,0.8552425703429201,70.32
34,0.9804230691935015,65.35466666666666,0.8402797804616601,70.704
35,0.9777815701509905,65.296,0.8628072582394876,70.16
36,0.9675315180125904,66.02666666666667,0.8491878050672429,70.976
37,0.9643306252594287,65.80533333333334,0.8712952421296893,69.368
38,0.9682913084384117,65.856,0.8494734691689386,70.52
39,0.9534390558307488,66.25866666666667,0.8645731414218083,70.536
40,0.9531932772477332,66.224,0.8585312730820892,70.232
