epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.4922960329381272,46.624,1.2205435913436267,56.648
2,1.1312285926154857,60.18666666666667,1.0200329848698206,64.152
3,0.9880536420353444,65.576,0.9244068587312892,67.152
4,0.8852861194073544,69.41333333333333,0.8773997042860303,69.464
5,0.8029430073275908,71.824,0.8223787965823193,71.496
6,0.7454822401137889,73.952,0.8389400006556997,71.072
7,0.6938757897440484,75.67733333333334,0.7879301917796232,72.616
8,0.6464548119099067,77.28,0.8142667011338838,72.512
9,0.61027268521208,78.57333333333334,0.7670739518136395,74.328
10,0.5748095286584145,79.66666666666667,0.7718041885872277,74.048
