epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.560056155,43.81333333,1.287478565,54.192
2,1.270874492,55.03466667,1.120381658,60.48
3,1.175340021,58.94666667,1.119165758,61.152
4,1.122130529,60.808,1.101683639,62.552
5,1.082293606,62.30133333,1.031006841,64.52
6,1.058960703,63.29866667,0.970048289,66.176
7,1.038772562,63.76533333,0.992613215,65.904
8,1.022540371,64.58133333,1.046306101,63.688
9,1.000599168,65.608,0.986472999,66.632
10,0.996716854,65.66933333,1.024300291,65.048
